超清精彩0612,#genre#

CHC动作电影,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226308/2/index.m3u8?fmt=ts2hls$1080p
CHC家庭影院,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226319/2/index.m3u8?fmt=ts2hls$1080p
CHC影迷电影,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226305/2/index.m3u8?fmt=ts2hls$1080p
黑莓电影,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225764/index.m3u8$1080p
黑莓电影,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225769/index.m3u8$1080p
黑莓动画,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225672/index.m3u8$1080p
CCTV6,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226255/index.m3u8?fmt=ts2hls$1080p
NewTV超级电影,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225623/index.m3u8$1080p
NewTV超级电影,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225766/index.m3u8$1080p
凤凰香港,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226251/index.m3u8$1080p
凤凰资讯,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226248/index.m3u8$1080p
凤凰中文,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226274/index.m3u8$1080p
北京卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226394/index.m3u8$2160p
北京卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226386/2/index.m3u8?fmt=ts2hls$2160p
湖南卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226398/2/index.m3u8?fmt=ts2hls$2160p
浙江卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226404/2/index.m3u8?fmt=ts2hls$2160p
广东卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226405/2/index.m3u8?fmt=ts2hls$2160p
东方卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226429/2/index.m3u8?fmt=ts2hls$2160p
深圳卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226409/2/index.m3u8?fmt=ts2hls$2160p
四川卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226424/2/index.m3u8?fmt=ts2hls$2160p
江苏卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226401/2/index.m3u8?fmt=ts2hls$2160p
山东卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226407/2/index.m3u8?fmt=ts2hls$2160p
CCTV4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226422/index.m3u8$2160p
重温经典,http://8.138.7.223/tv/cwjd.php
重温经典,http://106.53.99.30/tv/api.php?id=cwjd

央省卫视,#genre#
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8$1080p
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225642/index.m3u8$1080p
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226225/index.m3u8$1080p
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226221/index.m3u8$1080p
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226465/index.m3u8$1080p
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225501/2/index.m3u8?fmt=ts2hls$1080p
CCTV2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225619/index.m3u8$1080p
CCTV2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225643/index.m3u8$1080p
CCTV2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226254/index.m3u8$1080p
CCTV2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226451/index.m3u8$1080p
CCTV2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225500/2/index.m3u8?fmt=ts2hls$1080p
CCTV3,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225634/index.m3u8$1080p
CCTV3,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8$720p
CCTV3,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226256/2/index.m3u8?fmt=ts2hls$1080p
CCTV4,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8$1080p
CCTV4,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226277/index.m3u8$1080p
CCTV4,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226340/index.m3u8$1080p
CCTV4,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226348/2/index.m3u8?fmt=ts2hls$1080p
CCTV4美洲,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226366/2/index.m3u8?fmt=ts2hls$1080p
