超清精彩0610,#genre#

CCTV4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226422/index.m3u8
北京卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226394/index.m3u8
湖南卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226398/2/index.m3u8?fmt=ts2hls
东方卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226429/2/index.m3u8?fmt=ts2hls
江苏卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226401/2/index.m3u8?fmt=ts2hls
浙江卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226404/2/index.m3u8?fmt=ts2hls
山东卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226407/2/index.m3u8?fmt=ts2hls
四川卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226424/2/index.m3u8?fmt=ts2hls
NewTV超级电影,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225623/index.m3u8
NewTV超级电影,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225766/index.m3u8
黑莓动画,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225672/index.m3u8
黑莓电影,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225764/index.m3u8
黑莓电影,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225769/index.m3u8
黑莓电影,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225718/index.m3u8
CCTV6,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225632/index.m3u8
CHC动作,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226308/2/index.m3u8?fmt=ts2hls
CHC家庭,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226319/2/index.m3u8?fmt=ts2hls
CHC影迷,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226305/2/index.m3u8?fmt=ts2hls
CHC影迷,http://publiciptv.dynv6.net:25140/rtsp/115.153.254.81/PLTV/88888888/224/3221226990/86128784.smil
CHC家庭,http://publiciptv.dynv6.net:25140/rtsp/115.153.254.81/PLTV/88888888/224/3221226959/86128800.smil
CHC动作,http://publiciptv.dynv6.net:25140/rtsp/115.153.254.81/PLTV/88888888/224/3221226992/86128817.smil
凤凰香港,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226251/index.m3u8
凤凰中文,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226248/index.m3u8
凤凰资讯,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226274/index.m3u8

重温经典,http://8.138.7.223/tv/cwjd.php
重温经典,http://106.53.99.30/tv/api.php?id=cwjd

地方台,#genre#
江西2都市,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225584/index.m3u8?fmt=ts2hls
江西3经济,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226206/index.m3u8?fmt=ts2hls
江西5公共,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225578/index.m3u8?fmt=ts2hls
江西6少儿,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226194/index.m3u8?fmt=ts2hls
江西7新闻,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225615/index.m3u8?fmt=ts2hls
江西电视指南,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226376/2/index.m3u8?fmt=ts2hls$1080p
江西广电,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226381/2/index.m3u8?fmt=ts2hls$1080p
江西广电,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226389/2/index.m3u8?fmt=ts2hls$1080p
江西广电,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226414/2/index.m3u8?fmt=ts2hls$1080p
江西教育台,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226197/2/index.m3u8?fmt=ts2hls$1080p
江西教育台,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226410/2/index.m3u8?fmt=ts2hls$1080p
赣州经济,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226412/2/index.m3u8?fmt=ts2hls$1080p
赣州新闻综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226408/2/index.m3u8?fmt=ts2hls$1080p
九江2新闻,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226417/2/index.m3u8?fmt=ts2hls$1080p
九江公共,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226420/2/index.m3u8?fmt=ts2hls$1080p
九江教育频道,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226423/2/index.m3u8?fmt=ts2hls$1080p
南昌1新闻,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226382/2/index.m3u8?fmt=ts2hls$1080p
南昌2都市,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226385/2/index.m3u8?fmt=ts2hls$1080p
南昌3资讯,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226374/2/index.m3u8?fmt=ts2hls$1080p
上饶经济,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226416/2/index.m3u8?fmt=ts2hls$1080p
上饶新闻,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226419/2/index.m3u8?fmt=ts2hls$1080p
睛彩广场舞,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226391/index.m3u8$1080p
睛彩广场舞,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226383/2/index.m3u8?fmt=ts2hls$1080p
睛彩竞技,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226243/index.m3u8$1080p
睛彩竞技,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226400/2/index.m3u8?fmt=ts2hls$1080p
睛彩篮球,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226240/index.m3u8$1080p
睛彩篮球,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226403/2/index.m3u8?fmt=ts2hls$1080p
睛彩青少,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226261/index.m3u8$1080p
睛彩青少,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226380/2/index.m3u8?fmt=ts2hls$1080p


央省卫视,#genre#
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225501/index.m3u8?fmt=ts2hls
