电信省,#genre#
CCTV4K,rtsp://115.153.254.81/PLTV/88888888/224/3221227073/106537394.smil
CCTV1 ,rtsp://115.153.254.81/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV1 ,rtsp://115.153.253.80/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV2 ,rtsp://115.153.254.81/PLTV/88888888/224/3221226825/59814584.smil
CCTV3 ,rtsp://115.153.220.218:554/PLTV/88888888/224/3221226841/63329606.smil
CCTV4 ,rtsp://115.153.254.81/PLTV/88888888/224/3221226838/59814684.smil
CCTV5 ,rtsp://115.153.233.154/PLTV/88888888/224/3221226226/10000100000000060000000001408356_0.smil
CCTV6 ,rtsp://115.153.247.80:554/PLTV/88888888/224/3221226843/63329570.smil
CCTV7 ,rtsp://115.153.254.81/PLTV/88888888/224/3221226827/59814693.smil
CCTV8 ,rtsp://115.153.220.218:554/PLTV/88888888/224/3221226854/63329578.smil
CCTV9 ,rtsp://115.153.254.81/PLTV/88888888/224/3221226840/59814699.smil
CCTV10,rtsp://115.153.254.81/PLTV/88888888/224/3221226630/51813372.smil
CCTV11,rtsp://115.153.254.81/PLTV/88888888/224/3221225529/iptv7955.smil
CCTV12,rtsp://115.153.254.81/PLTV/88888888/224/3221226829/59814709.smil
CCTV13,rtsp://115.153.254.81/PLTV/88888888/224/3221225533/iptv7957.smil
CCTV14,rtsp://115.153.254.81/PLTV/88888888/224/3221226634/51813368.smil
CCTV15,rtsp://115.153.254.81/PLTV/88888888/224/3221225537/iptv7959.smil
CCTV16,rtsp://115.153.254.81/PLTV/88888888/224/3221227051/92603106.smil
CCTV17,rtsp://115.153.254.81/PLTV/88888888/224/3221226846/61397282.smil
第一剧场,rtsp://115.153.254.81/PLTV/88888888/224/3221226961/86128891.smil
风云音乐,rtsp://115.153.254.81/PLTV/88888888/224/3221226994/86128897.smil
风云剧场,rtsp://115.153.254.81/PLTV/88888888/224/3221226963/86128874.smil
怀旧剧场,rtsp://115.153.254.81/PLTV/88888888/224/3221226996/86128881.smil
兵器科技,rtsp://115.153.254.81/PLTV/88888888/224/3221227004/86132185.smil
央视精品,rtsp://115.153.254.81/PLTV/88888888/224/3221226957/86128679.smil
央视台球,rtsp://115.153.254.81/PLTV/88888888/224/3221226955/86106661.smil
中国天气,rtsp://115.153.254.81/PLTV/88888888/224/3221227056/89471929.smil
收视指南,rtsp://115.153.254.81/PLTV/88888888/224/3221226987/86440886.smil
世界地理,rtsp://115.153.254.81/PLTV/88888888/224/3221226965/86128966.smil
女性时尚,rtsp://115.153.254.81/PLTV/88888888/224/3221226998/86128978.smil

CHC影迷,rtsp://115.153.254.81/PLTV/88888888/224/3221226990/86128784.smil
CHC家庭,rtsp://115.153.254.81/PLTV/88888888/224/3221226959/86128800.smil
CHC动作,rtsp://115.153.254.81/PLTV/88888888/224/3221226992/86128817.smil

江西都市频道,rtsp://115.153.254.81/PLTV/88888888/224/3221227069/94448631.smil
江西卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221226656/46275837.smil
江西经济生活,rtsp://115.153.254.81/PLTV/88888888/224/3221226946/70055407.smil
江西公共农业,rtsp://115.153.254.81/PLTV/88888888/224/3221226708/53213097.smil
江西新闻频道,rtsp://115.153.254.81/PLTV/88888888/224/3221226650/53190437.smil
南昌新闻 ,rtsp://115.153.254.81/PLTV/88888888/224/3221227078/113409131.smil
南昌都市,rtsp://115.153.254.81/PLTV/88888888/224/3221227075/113409249.smil
南昌资讯,rtsp://115.153.254.81/PLTV/88888888/224/3221227080/113409255.smil


经典电影,rtsp://115.153.254.81/PLTV/88888888/224/3221227010/86440860.smil
爱综艺,rtsp://115.153.254.81/PLTV/88888888/224/3221226983/86440966.smil
爱电影,rtsp://115.153.254.81/PLTV/88888888/224/3221226985/86441021.smil
爱大剧,rtsp://115.153.254.81/PLTV/88888888/224/3221227014/86441032.smil
